annee,code,libelle,solde_net,asile_premieres,ratio_asile_sur_solde,note
2023,ES,Espagne,13.4,3.3372,0.249,
2023,SE,Suède,2.3,0.8516,0.3703,
2023,NL,Pays-Bas,7.6,2.1543,0.2835,
2023,DK,Danemark,5.0,0.4012,0.0802,
2024,FR,France,2.8,1.8918,0.6756,
2024,DE,Allemagne,5.4,2.7529,0.5098,
2024,IT,Italie,4.3,2.5626,0.596,
2024,ES,Espagne,12.8,3.4033,0.2659,
2024,SE,Suède,2.7,0.6426,0.238,
2024,NL,Pays-Bas,6.0,1.7834,0.2972,
2024,DK,Danemark,5.3,0.3707,0.0699,
